price,room_count,toilet_count,size,heating_type,building_age,building_type,neighborhood,floor
5.500.000,2 + 1,1,/ 80 m2,Kombi,15,Daire,Eyüpsultan,2. Kat
3.800.000,1 + 1,1,/ 60 m2,Kombi,5,Daire,Eyüpsultan,Yüksek Giriş
23.950.000,3 + 1,2,/ 90 m2,Kombi,9,Daire,Kadıköy,3. Kat
17.750.000,3 + 1,2,/ 100 m2,Merkezi (Pay Ölçer),4,Daire,Kadıköy,4. Kat
7.750.000,1 + 1,1,/ 47 m2,Kombi,9,Daire,Kadıköy,Yüksek Giriş
8.750.000,1,N/A,N/A,Uygun,Merkezi,Daire,Bakırköy,4 Yaşında
3.750.000,1,N/A,N/A,Uygun,Kombi,Daire,Arnavutköy,Sıfır Bina
3.750.000,1,N/A,N/A,Uygun,Kombi,Daire,Arnavutköy,Sıfır Bina
2.000.000,1,N/A,N/A,Uygun değil,Kombi,Daire,Arnavutköy,5 Yaşında
9.750.000,2 + 1,1,/ 70 m2,Kombi,Sıfır,Residence,Beykoz,Giriş Katı
7.500.000,2 + 1,1,/ 78 m2,Kombi,Sıfır,Daire,Maltepe,1. Kat
11.000.000,4 + 2,3,/ 180 m2,Kombi,10,Daire,Maltepe,5. Kat
5.850.000,2 + 1,1,/ 87 m2,Merkezi (Pay Ölçer),10,Daire,Maltepe,Yüksek Giriş
75.000.000,2 + 1,2,/ 140 m2,Merkezi (Pay Ölçer),15,Residence,Beşiktaş,3. Kat
14.000.000,3 + 1,1,/ 94 m2,Kombi,8,Daire,Kadıköy,7. Kat
2.400.000,1,N/A,N/A,Doğalgaz,Kombi,Daire,Büyükçekmece,20 Yaşında
8.950.000,4 + 1,1,/ 165 m2,Kombi,19,Daire,Üsküdar,1. Kat
5.100.000,1,N/A,N/A,Doğalgaz,Kombi,Daire,Üsküdar,45 Yaşında
17.000.000,2 + 1,2,/ 80 m2,Merkezi (Pay Ölçer),Sıfır,Residence,Şişli,9. Kat
17.500.000,2 + 1,2,/ 80 m2,Merkezi (Pay Ölçer),1,Residence,Şişli,8. Kat
8.000.000,2 + 1,1,/ 80 m2,Kombi,5,Daire,Şişli,2. Kat
81.500.000,2 + 1,2,/ 120 m2,Merkezi (Pay Ölçer),4,Residence,Beşiktaş,12. Kat
32.000.000,2 + 1,2,/ 100 m2,Merkezi (Pay Ölçer),Sıfır,Residence,Şişli,4. Kat
17.000.000,1 + 1,1,/ 60 m2,Merkezi (Pay Ölçer),Sıfır,Residence,Şişli,21 ve üzeri
23.000.000,2 + 1,2,/ 110 m2,Merkezi (Pay Ölçer),2,Residence,Şişli,21 ve üzeri
