price,toilet_count,heating_type,building_age,building_type,neighborhood,floor,bedrooms,living_rooms,size
16000000.0,2.0,Kombi,9.0,Daire,Kadıköy,9.0,3,1,105.0
11750000.0,1.0,Yerden Isıtma,9.0,Daire,Üsküdar,2.0,2,1,90.0
53000000.0,5.0,Doğalgaz,9.0,Villa,Beykoz,3.0,5,2,400.0
28000000.0,1.0,Merkezi,10.0,Residence,Bakırköy,8.0,2,0,130.0
13000000.0,1.0,Merkezi,31.0,Daire,Bakırköy,5.0,3,1,115.0
10900000.0,2.0,Merkezi,50.0,Daire,Şişli,3.0,3,1,140.0
2080000.0,1.0,Kombi,25.0,Daire,Sultanbeyli,1.0,2,1,100.0
3900000.0,1.0,Kombi,10.0,Daire,Kağıthane,0.0,2,1,80.0
6750000.0,1.0,Kombi,4.0,Daire,Beşiktaş,3.0,2,1,65.0
3450000.0,1.0,Kombi,30.0,Daire,Şişli,3.0,2,1,70.0
5500000.0,1.0,Kombi,15.0,Daire,Eyüpsultan,2.0,2,1,80.0
3800000.0,1.0,Kombi,5.0,Daire,Eyüpsultan,0.0,1,1,60.0
23950000.0,2.0,Kombi,9.0,Daire,Kadıköy,3.0,3,1,90.0
17750000.0,2.0,Merkezi (Pay Ölçer),4.0,Daire,Kadıköy,4.0,3,1,100.0
7750000.0,1.0,Kombi,9.0,Daire,Kadıköy,0.0,1,1,47.0
8750000.0,2.0,Uygun,9.0,Daire,Bakırköy,3.0,1,0,105.0
3750000.0,2.0,Uygun,9.0,Daire,Arnavutköy,3.0,1,0,105.0
3750000.0,2.0,Uygun,9.0,Daire,Arnavutköy,3.0,1,0,105.0
2000000.0,2.0,Uygun değil,9.0,Daire,Arnavutköy,3.0,1,0,105.0
9750000.0,1.0,Kombi,9.0,Residence,Beykoz,0.0,2,1,70.0
7500000.0,1.0,Kombi,9.0,Daire,Maltepe,1.0,2,1,78.0
11000000.0,3.0,Kombi,10.0,Daire,Maltepe,5.0,4,2,180.0
5850000.0,1.0,Merkezi (Pay Ölçer),10.0,Daire,Maltepe,0.0,2,1,87.0
75000000.0,2.0,Merkezi (Pay Ölçer),15.0,Residence,Beşiktaş,3.0,2,1,140.0
14000000.0,1.0,Kombi,8.0,Daire,Kadıköy,7.0,3,1,94.0
